date,GLD,SLV,USO,BNO,UNG,DBA,DBB,CPER,PPLT
2020-10-30,0.16988949993896038,0.06643300594483027,0.0,0.0,0.0,0.0,0.18042749689793305,0.1695725031020669,0.11367749411620932
2020-11-02,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-03,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-04,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-05,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-06,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-09,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-10,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-11,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-12,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-13,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-16,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-17,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-18,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-19,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-20,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-23,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-24,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-25,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-27,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-11-30,0.23354586965775678,0.08582428965302687,0.0,0.0,0.0,0.25,0.20319074929864964,0.14680925070135034,0.0
2020-12-01,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-02,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-03,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-04,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-07,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-08,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-09,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-10,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-11,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-14,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-15,0.0,0.12689382700479487,0.0,0.1300867554793025,0.0,0.0,0.1466162503795833,0.1466162503795833,0.1619229900289978
2020-12-16,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2020-12-17,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2020-12-18,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2020-12-21,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2020-12-22,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2020-12-23,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2020-12-24,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2020-12-28,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2020-12-29,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2020-12-30,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2020-12-31,0.0,0.14171657947145205,0.0,0.15356036413039148,0.0,0.0,0.16345912334466453,0.16345912334466453,0.17174912309719798
2021-01-04,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-05,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-06,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-07,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-08,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-11,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-12,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-13,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-14,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-15,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-19,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-20,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-21,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-22,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-25,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-26,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-27,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-28,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-01-29,0.0,0.11704710225143053,0.0,0.0,0.0,0.25,0.17763400052068976,0.17236599947931022,0.14036702036295878
2021-02-01,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-02,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-03,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-04,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-05,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-08,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-09,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-10,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-11,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-12,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-16,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-17,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-18,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-19,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-22,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-23,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-24,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-25,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-02-26,0.0,0.12463664060607073,0.14873689104998264,0.14188564287870878,0.0,0.0,0.0,0.2075875242347796,0.13870313634710438
2021-03-01,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-02,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-03,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-04,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-05,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-08,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-09,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-10,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-11,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-12,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-15,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-16,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-17,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-18,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-19,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-22,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-23,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-24,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-25,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-26,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-29,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-30,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-03-31,0.0,0.0,0.1623579742358027,0.15681679700119616,0.0,0.0,0.17488367563577506,0.1442910956012238,0.12325152043672684
2021-04-01,0.0,0.0,0.1263716837067334,0.12480612553973144,0.0,0.0,0.13299879285152527,0.12092040123691623,0.12803523548438275
2021-04-05,0.0,0.0,0.1263716837067334,0.12480612553973144,0.0,0.0,0.13299879285152527,0.12092040123691623,0.12803523548438275
2021-04-06,0.0,0.0,0.1263716837067334,0.12480612553973144,0.0,0.0,0.13299879285152527,0.12092040123691623,0.12803523548438275
2021-04-07,0.0,0.0,0.1263716837067334,0.12480612553973144,0.0,0.0,0.13299879285152527,0.12092040123691623,0.12803523548438275
2021-04-08,0.0,0.0,0.1263716837067334,0.12480612553973144,0.0,0.0,0.13299879285152527,0.12092040123691623,0.12803523548438275
2021-04-09,0.0,0.0,0.1263716837067334,0.12480612553973144,0.0,0.0,0.13299879285152527,0.12092040123691623,0.12803523548438275
2021-04-12,0.0,0.0,0.1263716837067334,0.12480612553973144,0.0,0.0,0.13299879285152527,0.12092040123691623,0.12803523548438275
2021-04-13,0.0,0.0,0.1263716837067334,0.12480612553973144,0.0,0.0,0.13299879285152527,0.12092040123691623,0.12803523548438275
2021-04-14,0.0,0.0,0.1263716837067334,0.12480612553973144,0.0,0.0,0.13299879285152527,0.12092040123691623,0.12803523548438275
2021-04-15,0.0,0.0,0.1263716837067334,0.12480612553973144,0.0,0.0,0.13299879285152527,0.12092040123691623,0.12803523548438275
2021-04-16,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-04-19,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-04-20,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-04-21,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-04-22,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-04-23,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-04-26,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-04-27,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-04-28,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-04-29,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-04-30,0.0,0.09149696172766777,0.08528607073401469,0.08500452998787425,0.0,0.20801903121388407,0.14743116879542417,0.11529689012080506,0.09954147227586635
2021-05-03,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-04,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-05,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-06,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-07,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-10,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-11,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-12,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-13,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-14,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-17,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-18,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-19,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-20,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-21,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-24,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-25,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-26,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-27,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-05-28,0.0,0.12342678985220257,0.08312003546386663,0.08287908461370486,0.0,0.21601161193034937,0.14397618790977063,0.11104890225736684,0.10358383569413658
2021-06-01,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-02,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-03,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-04,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-07,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-08,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-09,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-10,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-11,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-14,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-15,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-16,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-17,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-18,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-21,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-22,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-23,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-24,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-25,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-28,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-29,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-06-30,0.0,0.131616685363371,0.084338389418876,0.0848471269819699,0.0,0.19606826963046195,0.15328962998513398,0.12837385042054658,0.12263591254541023
2021-07-01,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
2021-07-02,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
2021-07-06,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
2021-07-07,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
2021-07-08,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
2021-07-09,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
2021-07-12,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
2021-07-13,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
2021-07-14,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
2021-07-15,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
2021-07-16,0.0,0.0,0.12249732733102843,0.12726204435870297,0.10024062831026855,0.16462018986429727,0.16311345069807676,0.13298351542838008,0.12357991290346285
